Name,GT,DC,QM
Công Ty Cổ Phần BPO Mắt Bão,"Công ty Cổ phần BPO MẮT BÃO - nhà cung cấp dịch vụ: Chăm sóc khách hàng (Call Centrer), xử lý dữ liệu, tư vấn, đào tạo tốt nhất tại Việt Nam. MẮT BÃO BPO được biết đến với dịch vụ chuyên nghiệp, đa dạng cùng nền văn hóa đặc sắc với hơn 2000 nhân sự trên cả nước. Đáp ứng nhu cầu phát triển bền vững, Công ty chúng tôi vinh dự mời quý anh chị tìm hiểu và gia nhập cùng đội ngũ MẮT BÃO BPO. Chúng tôi rất trân trọng sự giới thiệu của quý anh chị đến bạn bè, đồng nghiệp về MẮT BÃO, môi trường làm việc với trang thiết bị hiện đại, thu nhập tương xứng với khả năng.","54 Đường C1, Phường 13, Quận Tân Bình, TP Hồ Chí Minh",Trên 300 người
Công Ty TNHH Poong In Vina,"- Công ty 100% vốn Hàn Quốc chuyên gia công xuất khẩu hàng may mặc với những nhãn hàng nổi tiếng trên thế giới như Ann Taylor, Macy's , Gap , Talbot's , JCP - Năm thành lập : 2006 - Quy mô công ty : 3000 lao động","Khu phố 8, Phường Uyên Hưng, Thị xã Tân Uyên, Tỉnh Bình Dương, Việt Nam",Trên 300 người
Công Ty TNHH Thương Mại Vhc - Siêu Thị Điện Máy Hc,"Công ty TNHH Thương mại VHC (VHC Corporation) là chủ sở hữu và điều hành của Hệ thống Siêu thị Điện máy HC lớn nhất miền Bắc Việt Nam và đang trên đà chiếm lĩnh thị trường miền Trung, miền Nam. Là một trong những Hệ thống Siêu thị Điện máy đầu tiên ra đời tại Hà Nội vào ngày 24 / 5 / 2006, HC chuyên kinh doanh các mặt hàng Điện tử, Điện lạnh, Gia dụng, IT, Mobile – Giải trí số. HC hiện có 44 chi nhánh trên toàn miền Bắc, Trung, Nam. Các chi nhánh có hệ thống nhận diện đồng bộ, diện tích sàn trưng bày trung bình mỗi siêu thị từ 1.000m2 đến 4.000m2, cùng hệ thống logistic trung bình lên đến 10.000m2; cung ứng hơn 50.000 sản phẩm điện máy uy tín, chất lượng của các thương hiệu hàng đầu thế giới cùng phong cách phục vụ theo tiêu chuẩn quốc tế. Mảng kinh doanh trực tuyến cũng hoạt động song song tại website www.hc.com.vn như một chi nhánh độc lập của hệ thống. VHC luôn chú trọng đặt lợi ích của khách hàng là trung tâm trong mọi hoạt động. VHC luôn mở rộng cánh cửa chào đón những nhân lực tài năng giàu đam mê và nhiệt huyết, dám thách thức trong môi trường làm việc hiện đại, chuyên nghiệp, năng động và cạnh tranh tích cực. “2000 thành viên của VHC đang chào đón bạn” Chính sách thu nhập: - Chế độ thu nhập: không giới hạn, hưởng theo năng lực và kết quả kinh doanh. - Chế độ thưởng sản phẩm dành riêng cho nhân viên tư vấn bán hàng và quản lý ngành hàng. - Phụ cấp khác theo tính chất công việc: điện thoại, xăng xe, đi đường… Các chính sách phúc lợi khác: - Thưởng thành tích, tháng, quý, năm. - Chế độ liên quan đến thưởng ngày nghỉ lễ, tết nguyên Đán, ngày Quốc khánh, ngày Sinh nhật Công ty…. - Chế độ liên quan đến bảo vệ quyền lợi cho người lao động như: Sinh nhật, hiếu, hỉ, ốm đau, kết hôn…. - Khám sức khỏe 1 năm một lần - Chế độ bảo hiểm (xã hội, y tế, thất nghiệp), bảo hiểm tai nạn lao động, bệnh nghề nghiệp, tử tuất theo quy định của luật lao động. - Các chế độ khác liên quan đên việc tổ chức các hoạt động văn hóa, thể thao, văn nghệ của tổ chức công đoàn Công ty… Đào tạo và phát triển: “ VHC cung cấp chương trình đào tạo và phát triển ở tất cả các cấp giúp bạn mài giũa kỹ năng, tiến bộ ở vị trí hiện tại và sẵn sàng cho việc chấp nhận thách thức ở những vị trí cao hơn” Trung tâm đào tạo VHC với đội ngũ hơn 50 giảng viên là các quản lý dày dạn kinh nghiệm cung cấp cho mỗi nhân viên VHC kiến thức và kỹ năng chuyên biệt cho nghề Bán lẻ, cũng như các kỹ năng chuyên môn khác. - Chương trình đào tạo Kỹ năng bán hàng - Chương trình đào tạo Sản phẩm - Chương trình đào tạo Quy trình - Chương trình đào tạo Kỹ năng mềm - Chương trình đào tạo Kỹ năng quản lý - Chương trình liên kết đào tạo với các hãng, nhà cung cấp, các tổ chức đào tạo giúp nhân viên tiếp cận với các kiến thức, tri thức mới.","Số 399 đường Phạm văn Đồng, phường Xuân Đỉnh, quận Bắc Từ Liêm, thành phố Hà Nội",Trên 300 người
Công Ty TNHH Jollibee Việt Nam,"Ngày 28/1/1978, tập đoàn Jollibee được thành lập tại Philippines. Jollibee là một câu chuyện thành công phi thường: từ 2 tiệm kem nhỏ hình thành vào năm 1975, chuyên bán các món ăn nóng và bánh mì kẹp trở thành công ty với 7 cửa hàng vào năm 1978, chuyên về bơ gơ, sau đó trở thành một công ty đã tạo nên cuộc cách mạng thức ăn nhanh tại Philippines. Tập đoàn Jollibee đã xây dựng thành công hệ thống cửa hàng thức ăn nhanh rộng khắp Philippines với trên 800 cửa hàng, cùng với hơn 100 cửa hàng tại thị trường quốc tế như Ả Rập Thống Nhất, Qatar, Hong Kong, các tiểu vương quốc Ả Rập Xê Út, Brunei, Trung Quốc, Singapore, Mỹ và Việt Nam. Hiện nay Jollibee đã trở thành tập đoàn thức ăn nhanh hàng đầu tại Philippines. Với hơn 12 nhãn hàng, hàng ngàn cửa hàng kinh doanh ẩm thực, và hệ thống cửa hàng nhượng quyền rộng khắp trong nước và quốc tế, Jollibee khát khao mang đến cho khách hàng không chỉ những sản phẩm ngon, chất lượng mà còn thể hiện các nét văn hóa truyền thống đặc sắc nhất. Khách hàng khi đến với Jollibee vừa thưởng thức những bữa ăn ngon, vừa trải nghiệm không gian ấm cúng, thân thiện, vui vẻ, và được tận hưởng những giây phút hạnh phúc, thoải mái nhất bên gia đình và người thân. Cửa hàng Jollibee đầu tiên được mở tại Việt Nam vào năm 1996. Kể từ đó, Jollibee đã nỗ lực hết mình để mang đến các gia đình Việt Nam những bữa ăn ngon miệng với giá cả hợp lý nhất. Tháng 06/2005 tập đoàn Jollibee chính thức đầu tư thành lập Công ty TNHH Jollibee Việt Nam, đánh dấu một bước phát triển mới trong việc quản lý và mở rộng hệ thống cửa hàng Jollibee tại Việt Nam. Từ đó, thương hiệu Jollibee đã nhận được sự ủng hộ và đánh giá rất cao của khách hàng tại Việt Nam. Trong 3 năm gần đây hàng loạt những cửa hàng thức ăn nhanh Jollibee đã tiếp tục ra đời và kiến tạo nên một làn sóng mới về mô hình kinh doanh nhà hàng thức ăn nhanh tại thị trường Việt Nam. Ngày 01/12/2011, tập đoàn Jollibee đã sát nhập thêm 2 thương hiệu F&B hàng đầu tại Việt Nam chuyên về kinh doanh nhà hàng và cà phê cao cấp là Highlands Coffee và Phở 24, đánh dấu bước phát triển vượt bậc của tập đoàn Jollibee tại Việt Nam. Hiện nay hệ thống cửa hàng thức ăn nhanh Jollibee đã có hơn 70 cửa hàng trải dài hầu hết các tỉnh thành tại Việt Nam như: Hà Nội, Ninh Bình, Hạ Long, Hải Phòng, Đà Nẵng, Tp.Hồ Chí Minh, Cần Thơ, Nha Trang, Vũng Tàu, Bình Dương, Biên Hòa, Rạch Giá, Long Xuyên, Mỹ Tho, Cà Mau… Với hệ thống quản lý chuyên nghiệp, phục vụ ân cần, món ăn ngon, giá cả hợp lý, Jollibee Việt Nam luôn mong muốn đem lại niềm vui cho tất cả gia đình, đó chính là tiền đề tạo nên sự phát triển bền vững của thương hiệu Jollibee Việt Nam trong những năm sắp tới. Hiện nay, Jollibee Việt Nam đang tìm kiếm đối tác Nhượng quyền thương hiệu quan tâm đến kinh doanh hệ thống nhà hàng tiêu chuẩn quốc tế, có niềm đam mê và kinh nghiệm về kinh doanh nhà hàng cao cấp, khả năng tài chính. Chi tiết xin vui lòng liên hệ:","Tầng 26, Tòa nhà CII Tower, số 152 Điện Biên Phủ, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Trên 300 người
CÔNG TY TNHH THANG MÁY MITSU NHẬT BẢN,"Thang máy Mitsubishi là thương hiệu thang máy chất lượng, uy tín hàng đầu thế giới. Hãy xem những tính năng đặc biệt của Mitsubishi. An Toàn Cứu hộ khẩn cấp do lỗi nguồn điện, sự cố cháy, động đất. Tăng kiểm soát khi ra vào cửa tầng Tiết Kiệm Điện Sử dụng điện thông minh, giảm 70% điện năng tiêu thụ. Giảm lượng khí thải 1610kg/năm Hiệu Quả Cải thiện 40% thời gian chờ thang. Cải thiện 80% số cuộc chờ trong giờ cao điểm. Thoải Mái Trần cabin sang trọng, hiển thị LCD, nút bấm tầng nổi bật, tay vịn và kính khác biệt. Có trụ sở tại thành phố Hồ Chí Minh, công ty chúng tôi chuyên cung cấp các loại thang máy nội ngoại, nhập khẩu chính hãng, có mặt ở khắp các tỉnh thành trong cả nước. Với nhiều chi nhánh đặt tại các thành phố lớn trong nước như TP.Hồ Chí Minh, Đà Nẵng, Bình Dương, Vũng Tàu, Long An… Chúng tôi tự hào là một trong những công ty thang máy đứng hàng đầu Việt Nam. Máy móc thiết bị hiện đại, các chuyên gia và kỹ sư hàng đầu trong nghành, đảm bảo uy tín chất lượng từ khâu thiết kế đến khâu sản xuất, lắp đặt, vận hành, bảo trì và nâng cấp. Với hơn 15 năm kinh nghiệm trong lĩnh vực thang máy, chúng tôi không ngừng nghiên cứu, tìm hiểu để nhập khẩu và sản xuất các loại thang máy phù hợp nhất với thị trường ở Việt Nam. Tác phong chuyên nghiệp, chúng tôi cung cấp dịch vụ sản xuất lắp đặt và bảo trì thang máy tphcm ngày càng uy tín, đáng tín cậy nhằm phục vụ quý khách hàng sử dụng thang máy một cách tân tiến và hiện đại nhất. Công ty thang máy MITSUBISHI NHẬT BẢN chúng tôi có đội ngũ kỹ sư kinh nghiệm và tay nghề cao, đặc biệt thông qua các nhân viên tư vấn kỹ thuật của chúng tôi. Quý khách hàng có thể lựa chọn cho mình thang máy phù hợp nhất với công trình, yên tâm về chất lượng và dịch vụ hậu mãi. Các sản phẩm chính: Thang máy gia đình, thang máy tải khách, thang tải hàng (ô tô, xe máy, hàng hóa…), thang tải thực phẩm….. Các thiết bị chính hãng, đồng bộ trong thang máy Mitsubishi bao gồm: + Hệ điều khiển : PLC Mitsubishi – Nhật Bản + Điều khiển động lực : VVVF Mitsubishi – Nhật Bản + Động cơ của: Mitsubishi – Thái Lan + Máy kéo: Mitsubishi – Thái Lan + Contactor tủ điện: Mitsubishi – Nhật Bản + Áptomat cho tủ điện: Mitsubishi – Nhật Bản Các thiết bị trên được nhập khẩu đồng bộ, chính hãng mới 100%, đã được nhiệt đới hóa phù hợp với khí hậu nóng ẩm của Việt Nam. Chúng tôi luôn xem quyền lợi của khách hàng như của chính mình để xứng đáng với vai trò là người bạn đối tác thân thiết, tin cậy và lâu dài của Quý khách hàng.","37/62/6 Hồ Văn Long, P. Bình Hưng Hòa B, Quận Bình Tân, Tp.HCM",10 - 150 người
Công Ty Cổ Phần Quốc Tế Anh Văn Hội Việt Mỹ,"Tại VUS, chúng tôi không xem bạn là một người lao động mà là người bạn đồng hành. Đồng hành cùng VUS đồng nghĩa với cùng phát triển, cùng chia sẻ những sứ mạng, mục tiêu và cùng phấn đấu thành một tập thể xuất sắc. + Môi trường làm việc VUS tự hào có một môi trường làm việc chuyên nghiệp và công bằng để mỗi cá nhân đều có thể phát huy khả năng của bản thân trong một tập thể gắn kết, bên cạnh đó chúng tôi cũng tổ chức các hoạt động tinh thần để giúp kết nối mọi thành viên với nhau. + Chế độ đãi ngộ VUS không mang đến cho bạn một công việc, mà mang đến cho bạn những giá trị vật chất và tinh thần để giúp bạn trưởng thành và thành công trong sự nghiệp. Là một thành viên của VUS, bạn sẽ được trải nghiệm: Chế độ lương thưởng, phúc lợi công bằng và xứng đáng VUS xây dựng chính sách lương, thưởng và các chế độ phúc lợi tốt nhất cho mỗi thành viên làm việc và cống hiến. Các chương trình đào tạo giúp trao dồi kiến thức và kĩ năng Hoạt động trong lĩnh vực giáo dục, VUS hiểu rõ tầm quan trọng của việc phát triển nguồn nhân lực. Vì thế, là một thành viên của VUS, bạn sẽ có cơ hội được đào tạo nâng cao tiếng Anh và các kỹ năng nghề nghiệp, cũng như được tham gia các buổi huấn luyện thực tế nhằm bồi dưỡng năng lực và phát triển bản thân. Cơ hội rèn luyện và thử sức cùng với sự lớn mạnh của VUS VUS sẽ mở ra cho bạn nhiều cơ hội thử sức với những vai trò, thách thức mới, giúp khơi dậy năng lực tiềm ẩn và khả năng sáng tạo của bạn trong quá trình phát triển và mở rộng. Chúng tôi luôn chào đón nồng nhiệt những người muốn gia nhập VUS bằng tài năng, trí tuệ, phẩm chất đạo đức và lòng say mê công việc. Cho dù bạn là một sinh viên mới tốt nghiệp hay là một chuyên viên đang tìm kiếm thử thách mới để chinh phục trên con đường phát triển sự nghiệp, chỉ cần bạn sẵn sàng - chúng tôi luôn có những lộ trình phù hợp cho bạn. Website Tuyển dụng VUS : https://tuyendung.vus.edu.vn/","Trụ Sở TP.HCM: 189 Nguyễn Thị Minh Khai, Quận 1, TP. HCM | Văn Phòng Hà Nội: Lầu 3, Tòa nhà Golden Palace, Lô C3 Lê Văn Lương, Quận Thanh Xuân, Hà Nội",Trên 300 người
Nguồn Hàng Quảng Châu - Trung Quốc,"Ordertietkiem là đơn vị cung cấp dịch vụ trung gian nhập hàng từ các website thương mại điện tử hàng đầu Trung Quốc. Dịch vụ của chúng tôi bao gồm: - Tư vấn tìm kiếm nguồn hàng trên các website bán buôn, bán lẻ hàng đầu Trung Quốc như alibaba.com, 1688.com, taobao.com, tmall.com... - Mua hàng và kiểm tra hàng hóa - Đóng gói và làm việc với các đơn vị vận chuyển hàng hóa về Việt Nam - Khiếu nại nhà cung cấp, hỗ trợ đổi trả hàng hóa Mục tiêu của Ordertietkiem là luôn dẫn đầu trong việc xây dựng tiêu chuẩn dịch vụ để phục vụ khách hàng ngày một tốt hơn. Trong suốt thời gian phát triển, đội ngũ Ordertietkiem luôn tự hào là đơn vị tiên phong thực hiện những cam kết mang tính thay đổi, dẫn dắt và đòi hỏi cao đối với thị trường: 1. chúng tôi thực hiện việc đặt hàng bằng công cụ và quản lý đơn hàng hoàn toàn trực tuyến, không thông qua file excel. Việc mua hàng thực hiện hàng ngày, không chờ thời gian chốt đơn. 2. chúng tôi đào tạo nhân lực kiểm hàng ngay tại Trung Quốc để giảm thiểu rủi ro và chi phí tài chính cho khách hàng nhập hàng. 3. chúng tôi thực hiện hệ thống kiểm soát mọi trạng thái đơn hàng và giao tiếp trực tuyến. Tới thời điểm này rất nhiều dịch vụ nhập hàng chưa thể đáp ứng được. 4. chúng tôi nâng cao tiêu chuẩn hỗ trợ khách hàng 24 / 7. 5. chúng tôi triển khai dịch vụ Chuyển phát nhanh với những cam kết nghiêm ngặt về thời gian vận chuyển. 6. chúng tôi cam kết không thu phí mua hàng nếu không thực hiện mua hàng trong vòng 24h. 7. Và còn rất nhiều những tiêu chuẩn dịch vụ mà Bạn chỉ cảm nhận được khi sử dụng dịch vụ của chúng tôi Chúng tôi hiểu rằng, để tiếp tục tồn tại trên thị trường, Ordertietkiem cần liên tục nâng cao chất lượng dịch vụ. Vì vậy, chúng tôi luôn kỳ vọng được hợp tác với những Khách hàng có những yêu cầu khắt khe nhất. Đó là tôn chỉ trong mọi hành động của Ordertietkiem trong suốt thời gian qua.","Số 37, ngõ 45, Trần Thái Tông, Cầu Giấy, Hà Nội",150 - 300 người
Công Ty TNHH MTV Healthpost,"CÔNG TY TNHH MTV HEALTHPOST là một công ty hoạt động trong lĩnh vực Call Center - Trung tâm Tổng đài, chú trọng nhiều về Telesales. Với sứ mệnh đem đến những dòng sản phẩm có nguồn gốc từ thiên nhiên, chăm sóc sắc đẹp và sức khỏe dinh dưỡng, HEALTHPOST đã không ngừng cải tiến bản thân để ngày một tốt hơn và mang lại giải pháp tối ưu nhất về sức khỏe cho người tiêu dùng Việt Nam. Công ty hiện đang hoạt động tại 4 thị trường chính ở South East Asian: Việt Nam, Indonesia, Thái Lan, Malaysia và thị trường Châu Âu như Ukraine, Israel, v.v Nhờ chiến lược kinh doanh rõ ràng và hướng đi đúng; cùng với đội ngũ nhân viên năng động, sáng tạo, không ngại thử thách và được đào tạo chuẩn về nghiệp vụ Telesales; HEALTHPOST đang dần khẳng định được vị thế của mình trong lĩnh vực Call Center. Chúng tôi luôn chào đón những tài năng trẻ đầy nhiệt huyết, có đam mê và khát vọng thành công gia nhập đại gia đình HEALTHPOST – Nơi những người trẻ theo đuổi đam mê & phát triển sự nghiệp..","P901, tầng 9, Tòa nhà Sky City Tower A, số 88 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",150 - 300 người
Nguồn Hàng Trung Quốc,Nguồn Hàng Trung Quốc,"Số 37, ngõ 45, Trần Thái Tông, Cầu Giấy, Hà Nội",150 - 300 người
"Công Ty TNHH Đông Nam Việt Nam (Dong Nam Co., Ltd)","Chúng tôi là công ty 100% vốn Hàn Quốc chuyên sản xuất hàng may mặc quần áo xuất khẩu sang các nước Mỹ, Hàn Quốc, Nhật Bản,… 304 Trịnh Thị Miếng Tổ 111 ấp Đông, Âp Tam Đông, Hóc Môn, Thành phố Hồ Chí Minh","304 Trịnh Thị Miếng, Ấp Đông, thới Tam thôn, Hóc Môn, HCM",Trên 300 người
"Công Ty TNHH Đông Nam Việt Nam (Dong Nam Co., Ltd)","Chúng tôi là công ty 100% vốn Hàn Quốc chuyên sản xuất hàng may mặc quần áo xuất khẩu sang các nước Mỹ, Hàn Quốc, Nhật Bản,… 304 Trịnh Thị Miếng Tổ 111 ấp Đông, Âp Tam Đông, Hóc Môn, Thành phố Hồ Chí Minh","304 Trịnh Thị Miếng, Ấp Đông, thới Tam thôn, Hóc Môn, HCM",Trên 300 người
"Công Ty TNHH Đông Nam Việt Nam (Dong Nam Co., Ltd)","Chúng tôi là công ty 100% vốn Hàn Quốc chuyên sản xuất hàng may mặc quần áo xuất khẩu sang các nước Mỹ, Hàn Quốc, Nhật Bản,… 304 Trịnh Thị Miếng Tổ 111 ấp Đông, Âp Tam Đông, Hóc Môn, Thành phố Hồ Chí Minh","304 Trịnh Thị Miếng, Ấp Đông, thới Tam thôn, Hóc Môn, HCM",Trên 300 người
Công Ty TNHH Ntpm Việt Nam,"NTPM tên đầy đủ là NiBong Tebal Paper Mill , là tập đoàn sản xuất giấy và các sản phẩm từ giấy của Malaysia , tập đoàn đang sở hữu 6 nhà máy tại Malaysia với tổng công suất 220 tấn giấy thành phẩm mỗi ngày, trong đó có 30% là dành cho xuất khẩu. Công ty TNHH NTPM (Việt Nam) là công ty 100% vốn đầu tư nước ngoài có xuất xứ từ Malaysia. NTPM là nhà sản xuất lớn nhất và cũng là công ty dẫn đầu thị trường khăn giấy tại Malaysia. NTPM không chỉ sản xuất và bán các sản phẩm khăn giấy mà còn chuyên sản xuất và bán các sản phẩm chăm sóc cá nhân như tã giấy, khăn ướt, băng vệ sinh và các sản phẩm từ cotton nữa. Năm 2013, NTPM đã xây dựng nhà máy sản xuất tại Bình Dương và đến năm 2014, công ty bắt đầu bán các sản phẩm khăn giấy bán thành phẩm như khăn giấy cuộn jumbo và khăn giấy cuộn lớn. Trong năm 2016 và đến nay, tất cả các loại khăn giấy và các sản phẩm liên quan đến khăn giấy như giấy vệ sinh cuộn, khăn bếp, khăn lau tay, khăn giấy gói, khăn bỏ túi, khăn giấy rút, … đã được sản xuất và phân phối trên khắp Việt Nam và cho thị trường quốc nội Bước sang năm 2021, Công ty TNHH NTPM (Việt Nam) cũng đã bắt đầu kinh doanh các sản phẩm chăm sóc cá nhân như tã giấy và khăn lau dành cho trẻ em.","Số 22 Vsip II-A, Đường số 23, Khu công nghiệp Việt Nam-Singapore II-A, phường Vĩnh Tân, thị xã Tân Uyên, tỉnh Bình Dương, Việt Nam",Trên 300 người
CÔNG TY TNHH MTV THANH VƯƠNG PHÁT,"CÔNG TY TNHH MTV THANH VƯƠNG PHÁT ( Honda Bình Dương ) Địa chỉ: Số 359, Khu phố Phú Nghị, Phường Hoà Lợi, Thị xã Bến Cát, Tỉnh Bình Dương Lĩnh vực: Kinh doanh các dòng xe máy chính hãng Honda, Yamaha, Suzuki và xe nhập khẩu...","Số 359, Khu phố Phú Nghị, Phường Hoà Lợi, Thị xã Bến Cát, Tỉnh Bình Dương",150 - 300 người
Công Ty Cổ Phần Xnk Tnt Việt Nam - Chi Nhánh Hải Phòng,"CÔNG TY CỔ PHẦN XNK TNT VIỆT NAM, là công ty nhập khẩu và phân phối máy móc trong lĩnh vực cơ khí, xây dựng, công nghiệp như dụng cụ điện cầm tay, máy hàn, máy nén, máy phát điện,... chuyên nghiệp tại Việt Nam. Công ty được thành lập với trụ sở chính tại thành phố Hồ Chí Minh với quy mô 5 chi nhánh đặt ở 5 thành phố lớn: HCM, chi nhánh Đà Nẵng, chi nhánh Hà Nội, chi nhánh Hải Phòng và chi nhánh Tây Nguyên. - Ngoài việc cung cấp các sản phẩm truyền thống cho hệ thống khách hàng, chúng tôi luôn tìm kiếm và nghiên cứu sản phẩm mới để đáp ứng tốt nhất nhu cầu của khách hàng với phương châm hợp tác Win- Win(các bên đều chiến thắng). - Với đội ngũ lãnh đạo trẻ, đầy nhiệt huyết đồng hành cùng đội ngũ nhân lực trẻ với trình độ cao đẳng, Đại học trở lên, Chúng tôi luôn tạo ra môi trường làm việc chuyên nghiệp, đầy năng động và là nơi để các bạn trẻ thể hiện mình. - TNT Việt Nam luôn đào tạo; hướng dẫn chi tiết để có được đội ngũ nhân sự tốt nhất; cũng như chế độ đãi ngộ tốt để các bạn trẻ yên tâm công hiến; từng bước chinh phục các mục tiêu của mình. - Chuyên nghiệp và độ tin cậy từ khách hàng là tiêu hàng đầu của chúng tôi.","Số nhà 34 đường 442 Khu dân cư An Trang, Xã An Đồng, Huyện An Dương, Thành phố Hải Phòng",10 - 150 người
Công Ty TNHH Welcome Inn,"The source of endless fun and always up-to-date with surprises only in Welcome Inn Lounge Top Bar District 1. For “party lovers” a memorable drunken night with hot angel dances, explosive music and special cocktails. Nếu bạn đang tìm kiếm một nơi để tiếp đón những đối tác nước ngoài, hay chỉ đơn giản là giới thiệu đến những người bạn từ phương xa đến Việt Nam thì Welcome Inn Lounge Bar sẽ là một gợi ý tuyệt vời.","50 Tôn Thất Thiệp, Phường Bến Nghé, Quận 1, TP Hồ Chí Minh",10 - 150 người
Công Ty CP Hóa Chất Xây Dựng Bách Khoa,"Công ty cổ phần hóa chất xây dựng Bách Khoa – Tiền thân là Công ty TNHH xây dựng và phát triển vật liệu mới Việt Khoa, được thành lập từ năm 2007, chuyên thi công trọn gói (cung cấp vật tư và nhân công thi công) hạng mục chống thấm, sơn sàn epoxy, chống thấm gốc Polyurethane, chống thấm màng cao phân tử cho nhà xưởng, nhà công nghiệp, TTTM, các khu công nghiệp, các dự án…..Trải qua những năm tháng xây dựng và phát triển được hợp tác với nhiều dự án trọng điểm như: Trụ sở Bộ công an, Trụ sở Bộ công thương, Trụ sở Tổng cục Hải Quan, Tập đoàn Vingroup và Taisei Nhật (nhà ga T2 Nội Bài)…đến nay Bách Khoa trở thành một trong những đơn vị có uy tín hàng đầu trong lĩnh vực chống thấm và sơn sàn epoxy. Với trang thiết bị máy móc hiện đại nhất, đội ngũ cán bộ chuyện nghiệp và đội thợ thi công nhiều kinh nghiệm Công ty Bách Khoa luôn đem lại sản phẩm đạt chất lượng cao và hoàn hảo","Phòng 2904, tháp A, chung cư thăng long Number one, 289 Khuất Duy Tiến, Trung Hòa, Cầu Giấy, HN",10 - 150 người
Công Ty TNHH Túi Xách Simone Việt Nam Tg,"Simone là công ty sản xuất và xuất khẩu túi xách nữ của các thương hiệu nổi tiếng trên thế giới. Với mong muốn đóng góp vào sự phát triển kinh tế chung của Việt Nam và đem sản phẩm Việt Nam hòa nhập thị trường thế giới. Simone Việt Nam đã tiến hành đầu tư công ty thứ hai ở Tiền Giang và đang có nhu cầu tuyển dụng lao động. Simone được thành lập đầu tiên vào năm 2009 ở Long An và đang hoạt động với quy mô 5000 người. Với thành công của công ty ở Long An, chúng tôi thành lập công ty thứ 2 ở KCN Tân Hương Tiền Giang và đang có nhu cầu tuyển dụng những công nhân chăm chỉ và nhanh nhẹn làm việc như gia đình. Ai có nhu cầu xin vui lòng liên hệ. Với phương châm thành công của Simone Tiền Giang luôn đi kèm với sự phát triển của Tiền Giang cũng như Việt Nam cộng với sự tự tin, quyết tâm chúng tôi cam kết sẽ nỗ lực không ngừng để tạo nên công ty đứng đầu thế giới.","Lô AI, AI-1, AVI, AVII, KII-1. KCN Tân Hương, Châu Thành, Tiền Giang",Trên 300 người
Công Ty TNHH Careline Solution,"Công Ty TNHH Careline Soulution là một công ty đa quốc gia có vốn đầu tư nước ngoài hoạt động trong lĩnh vực Call Center - Trung Tâm Tổng Đài, chú trọng nhiều về Telesales. Với sứ mệnh đem đến những dòng sản phẩm có nguồn gốc từ thiên nhiên, chăm sóc sắc đẹp và sức khỏe dinh dưỡng. Carline Solution đã không ngừng cải tiển bản thân để ngày một tốt hơn và mang lại giải pháp tối ưu về sức khỏe cho người tiêu dùng Việt Nam Hiện Careline Solution đang kinh doanh các mặt hàng thực phẩm chức năng về xương khớp, suy giãn tĩnh mạch, đường ruột,...","Tòa nhà Halo, Số 290 Hai Bà Trưng, Phường Tân Định, Quận 1, TP. Hồ Chí Minh",150 - 300 người
Công Ty TNHH Sản Xuất In Bao Bì Toàn Cầu,"Tại Toàn Cầu chúng tôi luôn thấu hiểu giá trị sản phẩm bạn tạo ra có ý nghĩa như thế nào đối với người tiêu dùng, vì thế chúng tôi cho ra đời những sản phẩm bao bì với hình dáng và thiết kế sáng tạo, tiết kiệm nguyên liệu, tư vấn Phân tích kỹ thuật: chất liệu giấy phù hợp sản phẩm , giá cả cạnh tranh, định lượng giấy phù hợp trọng lượng sản phẩm bên trong, và độ chịu lực mang đến cho bạn cảm giác yên tâm trong quá trình vận chuyển hàng hóa và tạo dựng dấu ấn sâu sắc với khách hàng về thương hiệu của mình đến tận tay người tiêu dùng. Chính vì vậy Cty Bao Bì Toàn Cầu hoạt động và phát triển bởi sự tín nhiệm của nhiều khách hàng châu âu , châu á, tại TP.HCM và các tỉnh lân cận","168/2B ấp Thới Tây 2, Xã Tân Hiệp, Huyện Hóc Môn, TP Hồ Chí Minh",10 - 150 người
Công Ty TNHH CGT Media Group,Phần Mềm CNTT/Dịch vụ Phần mềm,"Lô 6 - DV 8, KĐT Tây Nam Linh Đàm, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",10 - 150 người
Công Ty TNHH Lục Sâm,"CÔNG TY TNHH LỤC SÂM HOẠT ĐỘNG TRONG NGÀNH GỖ CÓ TẦM QUY MÔ LƠN, HÀNG XUẤT KHẨU ĐẾN CÁC NƯỚC CHÂU ÂU","Khu phố Bình Khánh, Phường Khánh Bình, Thành phố Tân Uyên, Tỉnh Bình Dương",Trên 300 người
